Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-10-23 00:00:00-04:00,1224.8,1237.8,1224.8,1233.4,33,0.0,0.0
2018-10-24 00:00:00-04:00,1231.6,1231.6,1227.8,1227.8,36,0.0,0.0
2018-10-25 00:00:00-04:00,1238.6,1238.6,1229.1,1229.1,7,0.0,0.0
2018-10-26 00:00:00-04:00,1234.3,1234.8,1232.5,1232.5,20,0.0,0.0
2018-10-29 00:00:00-04:00,1224.5,1224.5,1224.5,1224.5,214,0.0,0.0
2018-10-30 00:00:00-04:00,1227.7,1227.7,1219.8,1222.6,72,0.0,0.0
2018-10-31 00:00:00-04:00,1216.0,1216.6,1212.0,1212.3,121,0.0,0.0
2018-11-01 00:00:00-04:00,1215.4,1236.0,1215.4,1236.0,14,0.0,0.0
2018-11-02 00:00:00-04:00,1233.3,1233.3,1230.9,1230.9,18,0.0,0.0
2018-11-05 00:00:00-05:00,1230.6,1231.5,1226.7,1229.8,15,0.0,0.0
2018-11-06 00:00:00-05:00,1230.7,1233.8,1223.8,1223.8,4,0.0,0.0
2018-11-07 00:00:00-05:00,1228.6,1228.6,1226.2,1226.2,1,0.0,0.0
2018-11-08 00:00:00-05:00,1222.9,1222.9,1222.9,1222.9,2,0.0,0.0
2018-11-09 00:00:00-05:00,1207.9,1207.9,1206.4,1206.4,14,0.0,0.0
2018-11-12 00:00:00-05:00,1201.6,1201.6,1201.3,1201.3,1,0.0,0.0
2018-11-13 00:00:00-05:00,1196.3,1201.3,1196.3,1199.2,5,0.0,0.0
2018-11-14 00:00:00-05:00,1207.9,1207.9,1207.9,1207.9,0,0.0,0.0
2018-11-15 00:00:00-05:00,1212.8,1212.8,1212.8,1212.8,0,0.0,0.0
2018-11-16 00:00:00-05:00,1216.7,1223.8,1216.7,1220.8,5,0.0,0.0
2018-11-19 00:00:00-05:00,1223.1,1223.1,1223.1,1223.1,0,0.0,0.0
2018-11-20 00:00:00-05:00,1225.3,1228.8,1219.0,1219.0,12,0.0,0.0
2018-11-21 00:00:00-05:00,1225.8,1225.8,1225.8,1225.8,0,0.0,0.0
2018-11-23 00:00:00-05:00,1224.8,1224.8,1221.0,1221.0,1,0.0,0.0
2018-11-26 00:00:00-05:00,1220.2,1222.0,1220.2,1220.2,2,0.0,0.0
2018-11-27 00:00:00-05:00,1221.9,1222.0,1211.2,1211.2,5,0.0,0.0
2018-11-28 00:00:00-05:00,1211.5,1221.4,1211.5,1221.4,247168,0.0,0.0
2018-11-29 00:00:00-05:00,1221.0,1228.7,1220.5,1224.1,55478,0.0,0.0
2018-11-30 00:00:00-05:00,1224.1,1225.0,1216.1,1220.2,2060,0.0,0.0
2018-12-03 00:00:00-05:00,1222.5,1234.1,1221.3,1233.9,751,0.0,0.0
2018-12-04 00:00:00-05:00,1231.0,1241.4,1230.4,1241.1,474,0.0,0.0
2018-12-06 00:00:00-05:00,1237.5,1244.4,1234.8,1238.1,434,0.0,0.0
2018-12-07 00:00:00-05:00,1238.3,1249.8,1237.6,1246.8,211,0.0,0.0
2018-12-10 00:00:00-05:00,1249.6,1249.6,1241.7,1243.7,131,0.0,0.0
2018-12-11 00:00:00-05:00,1245.8,1248.7,1241.5,1241.9,117,0.0,0.0
2018-12-12 00:00:00-05:00,1245.3,1245.6,1244.1,1244.4,84,0.0,0.0
2018-12-13 00:00:00-05:00,1243.5,1243.5,1241.0,1242.7,194,0.0,0.0
2018-12-14 00:00:00-05:00,1241.7,1241.7,1234.1,1237.0,33,0.0,0.0
2018-12-17 00:00:00-05:00,1239.3,1247.4,1239.3,1247.4,10,0.0,0.0
2018-12-18 00:00:00-05:00,1248.2,1249.2,1245.6,1249.2,31,0.0,0.0
2018-12-19 00:00:00-05:00,1255.8,1255.8,1252.1,1252.1,268,0.0,0.0
2018-12-20 00:00:00-05:00,1243.2,1263.6,1243.2,1263.6,49,0.0,0.0
2018-12-21 00:00:00-05:00,1260.3,1261.3,1253.8,1253.8,96,0.0,0.0
2018-12-24 00:00:00-05:00,1260.3,1268.5,1260.3,1267.5,27,0.0,0.0
2018-12-26 00:00:00-05:00,1269.3,1277.4,1269.2,1269.2,63,0.0,0.0
2018-12-27 00:00:00-05:00,1276.7,1277.3,1276.7,1277.3,480,0.0,0.0
2018-12-28 00:00:00-05:00,1273.5,1280.1,1273.5,1279.9,805,0.0,0.0
2018-12-31 00:00:00-05:00,1278.0,1281.3,1277.6,1278.3,19,0.0,0.0
2019-01-02 00:00:00-05:00,1286.0,1286.0,1277.6,1281.0,149,0.0,0.0
2019-01-03 00:00:00-05:00,1286.8,1292.0,1286.7,1291.8,10,0.0,0.0
2019-01-04 00:00:00-05:00,1294.2,1294.2,1275.3,1282.7,34,0.0,0.0
2019-01-07 00:00:00-05:00,1286.8,1286.8,1286.6,1286.8,2,0.0,0.0
2019-01-08 00:00:00-05:00,1280.5,1283.2,1278.2,1283.2,54,0.0,0.0
2019-01-09 00:00:00-05:00,1279.4,1289.3,1279.2,1289.3,102,0.0,0.0
2019-01-10 00:00:00-05:00,1284.7,1284.7,1284.7,1284.7,0,0.0,0.0
2019-01-11 00:00:00-05:00,1291.2,1291.2,1286.3,1287.1,11,0.0,0.0
2019-01-14 00:00:00-05:00,1292.4,1293.9,1289.1,1289.1,7,0.0,0.0
2019-01-15 00:00:00-05:00,1290.1,1292.7,1286.2,1286.2,3,0.0,0.0
2019-01-16 00:00:00-05:00,1291.6,1291.6,1291.6,1291.6,2,0.0,0.0
2019-01-17 00:00:00-05:00,1291.6,1292.7,1288.5,1291.0,10,0.0,0.0
2019-01-18 00:00:00-05:00,1281.3,1281.3,1281.3,1281.3,3,0.0,0.0
2019-01-22 00:00:00-05:00,1282.5,1283.3,1282.5,1282.5,7,0.0,0.0
2019-01-23 00:00:00-05:00,1281.7,1283.9,1278.7,1283.1,14,0.0,0.0
2019-01-24 00:00:00-05:00,1279.1,1279.1,1278.5,1279.1,1,0.0,0.0
2019-01-25 00:00:00-05:00,1297.4,1297.4,1297.4,1297.4,0,0.0,0.0
2019-01-28 00:00:00-05:00,1300.8,1307.1,1298.4,1302.4,54,0.0,0.0
2019-01-29 00:00:00-05:00,1308.2,1308.2,1308.2,1308.2,213607,0.0,0.0
2019-01-30 00:00:00-05:00,1310.4,1323.4,1308.1,1309.9,54958,0.0,0.0
2019-01-31 00:00:00-05:00,1320.0,1325.4,1316.7,1319.7,1970,0.0,0.0
2019-02-01 00:00:00-05:00,1320.3,1320.7,1315.4,1316.9,878,0.0,0.0
2019-02-04 00:00:00-05:00,1318.1,1318.1,1308.3,1314.3,675,0.0,0.0
2019-02-05 00:00:00-05:00,1311.1,1315.1,1311.0,1314.2,362,0.0,0.0
2019-02-06 00:00:00-05:00,1312.5,1313.5,1305.0,1309.5,358,0.0,0.0
2019-02-07 00:00:00-05:00,1302.9,1310.4,1302.2,1309.4,203,0.0,0.0
2019-02-08 00:00:00-05:00,1309.5,1314.0,1307.8,1313.7,122,0.0,0.0
